lifetime,breakeven profit,reliability,MTTF,MTBF,avg_r,avg_m
30,15.46899,0.9259624549129701,21.154667225170524,18.354560764720436,31.985,397.72611
60,21.879164,0.9159217265692157,26.492547352123925,19.024117288641637,59.005,1143.371085
90,29.326038,0.8994079101291518,26.43797827785532,16.46216332462826,85.48,2288.366365
120,36.270422,0.9005092927625319,24.331430730590558,15.090822307228656,112.25,3807.172214
150,44.023808,0.9049669827934919,31.2593054985195,15.760319194534274,140.06,5835.95391
180,51.127162,0.9024193843341316,29.776908376877987,15.125984935902057,166.19,8138.675579
210,58.828378,0.8992197855904352,26.3972299916442,14.349323355066286,193.575,10915.349686
240,66.996637,0.8954127000181374,27.446746260389038,13.64476614202872,222.12,14175.393429
270,74.321571,0.8929071867261464,26.681338180928474,13.877318896500817,248.0,17669.811587
300,81.444032,0.9015360123193502,28.656503068967158,14.440782976040447,275.955,21751.463228
